uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
tiny-aya-global__cs-qa_fa_cs__Id341,tiny-aya-global,3.35,small,cs-qa,fa,cs,Id341,2-4,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Česká republika",Masarykova univerzita má 2. místo v žebříčku velikostí a byla založena ve 2. místě v žebříčku založení. Nachází se v České republice.,3,"[{""info_used"": ""má 2. místo v žebříčku velikostí"", ""correct_info"": ""Masarykova univerzita | sizeRank | 2"", ""comment"": ""over_specific: the triple only states a rank of 2, not that it is a 'size ranking' or 'žebříčku velikostí'""}, {""info_used"": ""byla založena ve 2. místě v žebříčku založení"", ""correct_info"": ""Masarykova univerzita | foundingRank | 2"", ""comment"": ""over_specific: the triple only states a rank of 2, not that it is a 'founding ranking' or 'žebříčku založení'""}]"
gemma4-31B__cs-qa_fa_cs__Id1,gemma4-31B,30.7,medium,cs-qa,fa,cs,Id1,5,"- Jana Petrů | hasHit | největší hit
- největší hit | originatesFrom | Starci na chmelu
- Starci na chmelu | isType | muzikál","Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu.",5,[]
qwen3_5-122b__cs-qa_fa_cs__Id162,qwen3_5-122b,125.0,large,cs-qa,fa,cs,Id162,5,- CHKO Český kras | partiallyLocatedIn | Praha,CHKO Český kras je částečně situována v Praze.,5,[]
qwen3-1_7b__cs-qa_cf_cs__Id73,qwen3-1_7b,1.7,small,cs-qa,cf,cs,Id73,1,"- Havlíčkův Brod | riverFlowingThrough | Československo
- Československo | isA | river",Havlíčkův Brod je rýma Československa.,1,"[{""info_used"": ""Havlíčkův Brod je rýma Československa."", ""correct_info"": ""Havlíčkův Brod | riverFlowingThrough | Československo; Československo | isA | river"", ""comment"": ""unsupported: The sentence claims Havlíčkův Brod is the cold of Czechoslovakia, which is not supported by the triples. The triples state that the river Československo flows through Havlíčkův Brod.""}]"
tiny-aya-global__cs-qa_fa_cs__Id8,tiny-aya-global,3.35,small,cs-qa,fa,cs,Id8,2-4,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal cenu Zlatý slavík, a to nejvíckrát.",3,"[{""info_used"": ""získal cenu Zlatý slavík, a to nejvíckrát"", ""correct_info"": ""Karel Gott | awardCount | 1; Zlatý slavík | awardFrequency | nejvíckrát"", ""comment"": ""over_specific: The sentence claims Karel Gott won Zlatý slavík the most times, but the triples only state he won it once and that the award itself has the property 'nejvíckrát' (most times), without linking that property to Karel Gott.""}]"
qwen3_5-9b__cs-qa_cf_cs__Id389,qwen3_5-9b,9.7,small,cs-qa,cf,cs,Id389,2-4,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy je krajně levicová politická strana, která vznikla v roce 1990 jako nástupkyně Komunistické strany Československa a sídlí v Pankrácké věznici.",4,"[{""info_used"": ""sídlí v Pankrácké věznici"", ""correct_info"": ""Komunistická strana Čech a Moravy | country | Pankrácká věznice"", ""comment"": ""wrong_predicate: triple says 'country' (which is likely a data error for location), but the sentence claims 'sídlí v' (headquartered in), which is a different relationship.""}]"
llama4-scout-openrouter__cs-qa_fa_cs__Id187,llama4-scout-openrouter,17.0,medium,cs-qa,fa,cs,Id187,2-4,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Česká republika
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy jsou největší železniční dopravce v České republice. Ministerstvo dopravy České republiky bylo založeno společností České dráhy.,2,"[{""info_used"": ""Ministerstvo dopravy České republiky bylo založeno společností České dráhy."", ""correct_info"": ""Ministerstvo dopravy České republiky | founded | České dráhy"", ""comment"": ""reverse""}]"
qwen3-1_7b__cs-qa_fa_cs__Id315,qwen3-1_7b,1.7,small,cs-qa,fa,cs,Id315,2-4,"- Žofie Chotková | isA | česká šlechtična
- Žofie Chotková | spouseOf | Ferdinand d´Este
- Ferdinand d´Este | isA | následník trůnu
- Ferdinand d´Este | wasAssassinated | true","Žofie Chotková byla českou šlechtičnou a její manželkou byla Ferdinand d´Este, který byl následníkem trůnu a byl zasazený do zbrojí.",2,"[{""info_used"": ""její manželkou byla Ferdinand d´Este"", ""correct_info"": ""Žofie Chotková | spouseOf | Ferdinand d´Este"", ""comment"": ""reverse: The sentence says Ferdinand d´Este was her wife (manželkou), but the triple states Žofie is the spouse of Ferdinand, not the other way around, and the gender is wrong.""}, {""info_used"": ""byl zasazený do zbrojí"", ""correct_info"": ""Ferdinand d´Este | wasAssassinated | true"", ""comment"": ""unsupported: The sentence claims he was 'zasazený do zbrojí' (set into armors), which is not supported by the triple stating he was assassinated.""}]"
qwen3_5-9b__cs-qa_fa_cs__Id76,qwen3_5-9b,9.7,small,cs-qa,fa,cs,Id76,5,"- Luděk Novák | isA | český historik umění
- Luděk Novák | isKnownFor | publikování studií
- publikování studií | hasTopic | český malíř
- český malíř | includes | Mánes
- český malíř | includes | Švabinský
- český malíř | includes | Machek
- Luděk Novák | founded | výtvarná skupina Trasa","Luděk Novák, který je český historik umění známý publikováním studií o českém malíři, založil výtvarnou skupinu Trasa, přičemž k českému malíři patří Mánes, Švabinský a Machek.",5,[]
llama4-scout-openrouter__cs-qa_cf_cs__Id325,llama4-scout-openrouter,17.0,medium,cs-qa,cf,cs,Id325,2-4,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které bylo založeno v roce 1939 a uděluje se za prokázání vynikajícího činu v nebezpečí života nebo za obětování života, zejména v Libereckém kraji.",4,"[{""info_used"": ""zejména v Libereckém kraji"", ""correct_info"": ""Československý válečný kříž 1939 | country | Liberecký kraj"", ""comment"": ""over_specific: the triple states the country is Liberecký kraj, but the sentence adds 'zejména' (especially), implying it is awarded primarily there, which is not supported.""}]"
qwen3-1_7b__sk-qa_fa_cs__Id137,qwen3-1_7b,1.7,small,sk-qa,fa,cs,Id137,2-4,- Štiavnica | riverSource | Banská Štiavnica,Štiavnica je zdrojem rýny.,2,"[{""info_used"": ""Štiavnica je zdrojem rýny."", ""correct_info"": ""Štiavnica | riverSource | Banská Štiavnica"", ""comment"": ""wrong_object: The sentence says Štiavnica is the source of 'rýny', but the triple states the source is Banská Štiavnica.""}]"
gemma4-31B__cs-qa_cf_cs__Id491,gemma4-31B,30.7,medium,cs-qa,cf,cs,Id491,5,- Plzeň | derivedFrom | Zlo,Plzeň pochází ze Zlo.,5,[]
tiny-aya-global__sk-qa_cf_cs__Id174,tiny-aya-global,3.35,small,sk-qa,cf,cs,Id174,2-4,"- Vodné dielo Čerenec | liesOn | Najsevernejší bod Slovenska
- Najsevernejší bod Slovenska | isA | potok","Potok Najsevernejší bod Slovenska, Čerenec, protéká.",3,"[{""info_used"": ""Potok Najsevernejší bod Slovenska, Čerenec, protéká."", ""correct_info"": ""Vodné dielo Čerenec | liesOn | Najsevernejší bod Slovenska; Najsevernejší bod Slovenska | isA | potok"", ""comment"": ""unsupported: The sentence claims that a stream named 'Najsevernejší bod Slovenska' flows, but the triples state that 'Najsevernejší bod Slovenska' is a stream and that 'Vodné dielo Čerenec' lies on it. The sentence omits the 'liesOn' relationship and adds the unsupported claim that the stream flows.""}]"
qwen3_5-9b__cs-qa_fa_cs__Id217,qwen3_5-9b,9.7,small,cs-qa,fa,cs,Id217,2-4,"- Václav II. | futureRole | český král
- Václav II. | imprisonmentLocation | Bezděz
- Bezděz | region | Českolipsko
- Václav II. | imprisonmentCentury | 13","Václav II. byl vězněn v 13. století v Bezdězi, který se nachází v regionu Českolipsko, kde působil jako český král.",4,"[{""info_used"": ""působil jako český král"", ""correct_info"": ""Václav II. | futureRole | český král"", ""comment"": ""unsupported: The triple states a future role, not that he acted as king during his imprisonment.""}]"
llama4-scout-openrouter__cs-qa_cf_cs__Id169,llama4-scout-openrouter,17.0,medium,cs-qa,cf,cs,Id169,2-4,"- areál Škoda Auto v Mladé Boleslavi | hasHighway | Ještěd
- Ještěd | passesNear | areál Škoda Auto v Mladé Boleslavi",Areál Škoda Auto v Mladé Boleslavi se nachází v blízkosti Ještědu a Ještěd tudy vede dálnice.,2,"[{""info_used"": ""Areál Škoda Auto v Mladé Boleslavi se nachází v blízkosti Ještědu"", ""correct_info"": ""Ještěd | passesNear | areál Škoda Auto v Mladé Boleslavi"", ""comment"": ""reverse""}, {""info_used"": ""Ještěd tudy vede dálnice"", ""correct_info"": ""areál Škoda Auto v Mladé Boleslavi | hasHighway | Ještěd"", ""comment"": ""reverse""}]"
gpt-oss-120b__sk-qa_cf_cs__Id190,gpt-oss-120b,117.0,large,sk-qa,cf,cs,Id190,5,- Michalovce | isHighestPeakOf | Michalovce,Michalovce je nejvyšší vrchol Michalovce.,5,[]
qwen3_5-122b__sk-qa_fa_cs__Id100,qwen3_5-122b,125.0,large,sk-qa,fa,cs,Id100,5,"- Slovensko | hasRiver | Hron
- Hron | rankByLength | 2
- Hron | country | Slovensko","Slovensko má řeku Hron, která je druhá nejdelší a nachází se v Slovensku.",5,[]
gpt-oss-120b__sk-qa_fa_cs__Id458,gpt-oss-120b,117.0,large,sk-qa,fa,cs,Id458,5,"- STVR | broadcasts | Boli Sme Pri Tom
- Boli Sme Pri Tom | isA | talk show
- STVR | isA | slovenská televízia","STVR je slovenská televíze. STVR vysílá Boli Sme Pri Tom, což je talk show.",5,[]
gemma4-31B__sk-qa_cf_cs__Id176,gemma4-31B,30.7,medium,sk-qa,cf,cs,Id176,5,- Pamätná izba Jána Hollého | location | Galanta,Pamätná izba Jána Hollého se nachází v Galanta.,5,[]
gpt-oss-120b__sk-qa_cf_cs__Id253,gpt-oss-120b,117.0,large,sk-qa,cf,cs,Id253,5,- Oravské Beskydy | highestPeak | Bánskobystrický kraj,Nejvyšším vrcholem Oravských Beskyd je Bánskobystrický kraj.,5,[]
gemma4-e2b__sk-qa_fa_cs__Id68,gemma4-e2b,5.1,small,sk-qa,fa,cs,Id68,1,"- Škvrna Records | publishedFor | IMT Smile
- Škvrna Records | publishedFor | Bukasový masív
- Škvrna Records | publishedFor | Gladiator
- Škvrna Records | renamedTo | Závodský, s.r.o.
- Škvrna Records | renameDate | 1998-01-01","Škvrna Records byla vวันที่ 1998-01-01 změnila jméno na Závodský, s.r.o. a publikovala pro IMT Smile, Bukasový masív a Gladiator.",1,"[{""info_used"": ""byla vวันที่ 1998-01-01 změnila jméno na Závodský, s.r.o."", ""correct_info"": ""The sentence contains non-Czech text 'vวันที่' and incorrect grammar, making it not a valid Czech sentence."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__sk-qa_cf_cs__Id306,qwen3_5-9b,9.7,small,sk-qa,cf,cs,Id306,2-4,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže je pútnicky významné mesto, které se nachází v Slovensku.",2,"[{""info_used"": ""Šaštín-Stráže je pútnicky významné mesto, které se nachází v Slovensku."", ""correct_info"": ""Slovensko | locatedIn | Šaštín-Stráže"", ""comment"": ""reverse: The sentence claims Šaštín-Stráže is located in Slovensko, but the triple states Slovensko is located in Šaštín-Stráže.""}]"
gemma4-31B__cs-qa_fa_cs__Id200,gemma4-31B,30.7,medium,cs-qa,fa,cs,Id200,5,"- Návrat idiota | genre | romantická komedie
- Návrat idiota | countryOfOrigin | Česká
- Návrat idiota | director | Saša Gedeon
- Návrat idiota | releaseYear | 1999
- Návrat idiota | inspiredBy | hlavní postava z Dostojevského kníhy Idiot","Návrat idiota je romantická komedie z České republiky z roku 1999, kterou režíroval Saša Gedeon a je inspirována hlavní postavou z Dostojevského kníhy Idiot.",5,[]
