uid,prompt_language,triples,sentence,human_faithfulness_score,human_faithfulness_reason,human_fluency_score,human_fluency_reason,Annotator
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav byl český kníže i světec, byl zavražděn ve Staré Boleslavi služebníky Boleslava. Kateřina Bobková‑Valentová je bratrem Svatého Václava a služebníci patří Kateřině Bobkové‑Valentové.",5,,4.0,,1
gpt-oss-120b__sk-qa_fa_cs__Id187,cs,- Vodné dielo Gabčíkovo | builtOnRiver | Dunaj,Vodné dielo Gabčíkovo je postaveno na řece Dunaj.,5,,4.0,,1
gpt-oss-120b__cs-qa_cf_cs__Id461,cs,"- Václav Postránecký | profession | herec
- Václav Postránecký | profession | režisér
- Václav Postránecký | profession | divadelní pedagog
- Václav Postránecký | nationality | český
- Václav Postránecký | birthPlace | Mže Radbuza Úhlava Úslava","Václav Postránecký je český herec, režisér i divadelní pedagog a narodil se v Mže, Radbuze, Úhlavě a Úslavě.",5,,4.0,,1
gemma4-31B__cs-qa_cf_cs__Id162,cs,- CHKO Český kras | partiallyLocatedIn | Česko,CHKO Český kras se nachází частично v Česku.,3,,2.0,,1
qwen3_5-122b__sk-qa_cf_cs__Id272,cs,"- prvá veterná elektráreň | location | Cerová
- prvá veterná elektráreň | country | rieka Laborec",Prvá veterná elektráreň sa nachádza v Cerovej a jej krajina je rieka Laborec.,5,,2.0,,1
gemma4-e2b__sk-qa_fa_cs__Id10,cs,"- Slovensko | plannedCooperationWith | Maďarsko
- Slovensko | plannedProject | Vodné Dielo Gabčíkovo",Slovensko plánuje spolupráci s Maďarem a má plánovaný projekt Vodné Dielo Gabčíkovo.,5,,5.0,,1
gpt-oss-120b__cs-qa_fa_cs__Id175,cs,"- Edison | author | Vítězslav Nezval
- Signál času | author | Vítězslav Nezval",Edison je autorem Vítězslava Nezvala. Signál času je autorem Vítězslava Nezvala.,2,ten predikat byl myslen obracene ale ten model to nemuze vedet,4.0,,4
tiny-aya-global__sk-qa_cf_cs__Id359,cs,- Peter Hrivňák | knownAs | Matej Tóth,"Peter Hrivňák je známý jako hudební skladatel a zpěvák, který spolupracoval s populárníma maďarskými hudebníky, jako je Matej Tóth.",1,,5.0,,1
llama4-scout-openrouter__cs-qa_fa_cs__Id368,cs,- Kroměříž | usesDialect | Hanácké nářečí,Kroměříž používá Hanácké nářečí.,5,,5.0,,1
qwen3_5-122b__cs-qa_fa_cs__Id505,cs,"- Jiří Wolker | authorOf | Host do domu
- Host do domu | isA | básnická sbírka",Jiří Wolker je autorem básnické sbírky Host do domu.,5,,5.0,,1
qwen3_5-122b__sk-qa_cf_cs__Id424,cs,"- Najväčšie medzinárodné letisko na Slovensku | name | Letisko M. R. Štefánika
- Letisko M. R. Štefánika | location | Devín
- Letisko M. R. Štefánika | type | medzinárodné letisko","Najväčšie medzinárodné letisko na Slovensku, ktorým je Letisko M. R. Štefánika, sa nachádza v Devíne a jeho typom je medzinárodné letisko.",5,,2.0,,1
llama4-scout-openrouter__sk-qa_fa_cs__Id247,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska prohrál prezidentské volby v roce 2014 s Robertem Ficem.,2,,5.0,,1
gemma4-31B__sk-qa_cf_cs__Id373,cs,"- Susedia | seriesType | TV Series
- František Stromokocúr | characterIn | Susedia
- Anastasiya Kuzminová | playedRole | František Stromokocúr","Susedia je TV Series, ve které je postava František Stromokocúr, kterou z memainkaná Anastasiya Kuzminová.",3,,2.0,,1
gemma4-31B__cs-qa_fa_cs__Id323,cs,"- Josef Kemr | nationality | Český
- Josef Kemr | profession | legendární herec
- Josef Kemr | numberOfRoles | 150
- Josef Kemr | awardReceived | Cena Thálie
- Cena Thálie | awardYear | 1993
- Cena Thálie | awardReason | celoživotní mistrovství","Josef Kemr je český legendární herec, který z memainkanou 150 rolí získal v roce 1993 Cenu Thálie za celoživotní mistrovství.",4,,3.0,,1
tiny-aya-global__cs-qa_cf_cs__Id203,cs,"- Česká televize | produces | Svět pod hlavou
- Svět pod hlavou | isAbout | Filip Marvan
- Filip Marvan | isPlayedBy | Stanislav Rudolfský
- Filip Marvan | isHitBy | auto
- Filip Marvan | experiencesInComa | 1982
- Filip Marvan | hasProfession | policista","Česká televize produkuje seriál Svět pod hlavou, který je o Filipovi Marvanovi, kterého ztvárnil Stanislav Rudolfský. Tento seriál byl populární a získal ocenění, ale zároveň zažil i tragický moment, kdy Filip Marvan utrpěl komu v roce 1982. Zároveň byl policistou.",2,,4.0,,1
llama4-scout-openrouter__sk-qa_cf_cs__Id247,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2009",Andrej Kiska prohrál prezidentské volby v roce 2009 s Robertem Ficem.,2,,5.0,,1
gemma4-e2b__sk-qa_cf_cs__Id43,cs,"- Dara Rolins | formerPosition | prezident Slovenska
- Dara Rolins | founded | Za ľudí
- Za ľudí | type | political party","Dara Rolins je prezident Slovenska, založila Za ľudí, která je politický party.",4,,3.0,,1
tiny-aya-global__cs-qa_fa_cs__Id11,cs,- Miroslava Němcová | isMemberOf | ODS,Miranda Němcová je členkou strany ODS.,3,,5.0,,1
gpt-oss-120b__sk-qa_cf_cs__Id422,cs,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice má problémovou čtvrť Ondava, která je čtvrtí Košic a má status problémová.",5,,4.0,,1
tiny-aya-global__cs-qa_fa_cs__Id341,cs,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Česká republika",Masarykova univerzita má 2. místo v žebříčku velikostí a byla založena ve 2. místě v žebříčku založení. Nachází se v České republice.,5,,4.0,,1
gemma4-31B__cs-qa_fa_cs__Id1,cs,"- Jana Petrů | hasHit | největší hit
- největší hit | originatesFrom | Starci na chmelu
- Starci na chmelu | isType | muzikál","Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu.",5,,5.0,,1
qwen3_5-122b__cs-qa_fa_cs__Id162,cs,- CHKO Český kras | partiallyLocatedIn | Praha,CHKO Český kras je částečně situována v Praze.,4,,4.0,,1
qwen3-1_7b__cs-qa_cf_cs__Id73,cs,"- Havlíčkův Brod | riverFlowingThrough | Československo
- Československo | isA | river",Havlíčkův Brod je rýma Československa.,1,,1.0,,1
tiny-aya-global__cs-qa_fa_cs__Id8,cs,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal cenu Zlatý slavík, a to nejvíckrát.",4,,5.0,,1
qwen3_5-9b__cs-qa_cf_cs__Id389,cs,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy je krajně levicová politická strana, která vznikla v roce 1990 jako nástupkyně Komunistické strany Československa a sídlí v Pankrácké věznici.",3,,5.0,,1
llama4-scout-openrouter__cs-qa_fa_cs__Id187,cs,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Česká republika
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy jsou největší železniční dopravce v České republice. Ministerstvo dopravy České republiky bylo založeno společností České dráhy.,2,,4.0,,1
qwen3-1_7b__cs-qa_fa_cs__Id315,cs,"- Žofie Chotková | isA | česká šlechtična
- Žofie Chotková | spouseOf | Ferdinand d´Este
- Ferdinand d´Este | isA | následník trůnu
- Ferdinand d´Este | wasAssassinated | true","Žofie Chotková byla českou šlechtičnou a její manželkou byla Ferdinand d´Este, který byl následníkem trůnu a byl zasazený do zbrojí.",2,,2.0,,1
qwen3_5-9b__cs-qa_fa_cs__Id76,cs,"- Luděk Novák | isA | český historik umění
- Luděk Novák | isKnownFor | publikování studií
- publikování studií | hasTopic | český malíř
- český malíř | includes | Mánes
- český malíř | includes | Švabinský
- český malíř | includes | Machek
- Luděk Novák | founded | výtvarná skupina Trasa","Luděk Novák, který je český historik umění známý publikováním studií o českém malíři, založil výtvarnou skupinu Trasa, přičemž k českému malíři patří Mánes, Švabinský a Machek.",5,,4.0,,1
llama4-scout-openrouter__cs-qa_cf_cs__Id325,cs,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které bylo založeno v roce 1939 a uděluje se za prokázání vynikajícího činu v nebezpečí života nebo za obětování života, zejména v Libereckém kraji.",3,,5.0,,1
qwen3-1_7b__sk-qa_fa_cs__Id137,cs,- Štiavnica | riverSource | Banská Štiavnica,Štiavnica je zdrojem rýny.,1,,1.0,,1
gemma4-31B__cs-qa_cf_cs__Id491,cs,- Plzeň | derivedFrom | Zlo,Plzeň pochází ze Zlo.,5,,3.0,,1
tiny-aya-global__sk-qa_cf_cs__Id174,cs,"- Vodné dielo Čerenec | liesOn | Najsevernejší bod Slovenska
- Najsevernejší bod Slovenska | isA | potok","Potok Najsevernejší bod Slovenska, Čerenec, protéká.",1,,2.0,,1
qwen3_5-9b__cs-qa_fa_cs__Id217,cs,"- Václav II. | futureRole | český král
- Václav II. | imprisonmentLocation | Bezděz
- Bezděz | region | Českolipsko
- Václav II. | imprisonmentCentury | 13","Václav II. byl vězněn v 13. století v Bezdězi, který se nachází v regionu Českolipsko, kde působil jako český král.",3,,5.0,,1
llama4-scout-openrouter__cs-qa_cf_cs__Id169,cs,"- areál Škoda Auto v Mladé Boleslavi | hasHighway | Ještěd
- Ještěd | passesNear | areál Škoda Auto v Mladé Boleslavi",Areál Škoda Auto v Mladé Boleslavi se nachází v blízkosti Ještědu a Ještěd tudy vede dálnice.,2,,1.0,,1
gpt-oss-120b__sk-qa_cf_cs__Id190,cs,- Michalovce | isHighestPeakOf | Michalovce,Michalovce je nejvyšší vrchol Michalovce.,5,,5.0,,1
qwen3_5-122b__sk-qa_fa_cs__Id100,cs,"- Slovensko | hasRiver | Hron
- Hron | rankByLength | 2
- Hron | country | Slovensko","Slovensko má řeku Hron, která je druhá nejdelší a nachází se v Slovensku.",5,,4.0,,1
gpt-oss-120b__sk-qa_fa_cs__Id458,cs,"- STVR | broadcasts | Boli Sme Pri Tom
- Boli Sme Pri Tom | isA | talk show
- STVR | isA | slovenská televízia","STVR je slovenská televíze. STVR vysílá Boli Sme Pri Tom, což je talk show.",5,,3.0,,1
gemma4-31B__sk-qa_cf_cs__Id176,cs,- Pamätná izba Jána Hollého | location | Galanta,Pamätná izba Jána Hollého se nachází v Galanta.,5,,4.0,,1
gpt-oss-120b__sk-qa_cf_cs__Id253,cs,- Oravské Beskydy | highestPeak | Bánskobystrický kraj,Nejvyšším vrcholem Oravských Beskyd je Bánskobystrický kraj.,5,,5.0,,1
gemma4-e2b__sk-qa_fa_cs__Id68,cs,"- Škvrna Records | publishedFor | IMT Smile
- Škvrna Records | publishedFor | Bukasový masív
- Škvrna Records | publishedFor | Gladiator
- Škvrna Records | renamedTo | Závodský, s.r.o.
- Škvrna Records | renameDate | 1998-01-01","Škvrna Records byla vวันที่ 1998-01-01 změnila jméno na Závodský, s.r.o. a publikovala pro IMT Smile, Bukasový masív a Gladiator.",5,,3.0,,2
qwen3_5-9b__sk-qa_cf_cs__Id306,cs,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže je pútnicky významné mesto, které se nachází v Slovensku.",4,"nesmysl v datech (dva triply křížem subject-object), model si vybral jeden",4.0,,2
gemma4-31B__cs-qa_fa_cs__Id200,cs,"- Návrat idiota | genre | romantická komedie
- Návrat idiota | countryOfOrigin | Česká
- Návrat idiota | director | Saša Gedeon
- Návrat idiota | releaseYear | 1999
- Návrat idiota | inspiredBy | hlavní postava z Dostojevského kníhy Idiot","Návrat idiota je romantická komedie z České republiky z roku 1999, kterou režíroval Saša Gedeon a je inspirována hlavní postavou z Dostojevského kníhy Idiot.",5,,5.0,,1
gpt-oss-120b__cs-qa_fa_cs__Id198,cs,"- Čeští jazykoví puristé | timePeriod | baroko a národní obrození
- Čeští jazykoví puristé | designatedTermFor | kapesník
- čistonosoplena | isTermFor | kapesník","Čeští jazykoví puristé patří do období baroko a národní obrození, označují termín kapesník a čistonosoplena je termín pro kapesník.",3,,2.0,,1
gemma4-31B__sk-qa_cf_cs__Id85,cs,"- Kamil Čapkovič | performedRole | Jánošík
- Jánošík | isTitleRoleIn | Na skle maľované
- Na skle maľované | isType | divadelná hra","Kamil Čapkovič z memainkan roli Jánošíka, který je hlavní rolí v divadelní hře Na skle maľované.",3,,2.0,,1
llama4-scout-openrouter__cs-qa_cf_cs__Id362,cs,- Rákosníček | voicedBy | Ferdinand d´Este,Rákosníček má dabing ve vozě Ferdinand d´Este.,3,,2.0,,1
gemma4-31B__sk-qa_fa_cs__Id303,cs,"- Viliama Klimáčka | knownAs | herca
- Viliama Klimáčka | knownAs | scenáristu
- Viliama Klimáčka | knownAs | herca divadla GUnaGU
- Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave
- Viliama Klimáčka | profession | anesteziológ","Viliam Klimáček je známý jako herec, scénárista a herec divadla GUnaGU, studoval na lekárskej fakulte UK v Bratislave a jeho profesí je anesteziológ.",5,,4.0,,1
qwen3_5-9b__cs-qa_cf_cs__Id91,cs,"- slovo ""robot"" | trueAuthor | Kateřina Bobková-Valentová","Slovo ""robot"" je pravým autorem Kateřina Bobková-Valentová.",3,,2.0,,1
gemma4-31B__cs-qa_cf_cs__Id396,cs,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk",Česká hudební skupina Nightwork je aktivní od 2006-01-01 do 1990 a jejími členy jsou Jakub Prachař a Vojtěch Dyk.,5,,5.0,,1
gpt-oss-120b__cs-qa_fa_cs__Id317,cs,- Tzv. Pražské Předměstí | belongsToCadastralArea | Hradec Králové,Tzv. Pražské Předměstí patří katastrálnímu území Hradec Králové.,5,,5.0,,1
llama4-scout-openrouter__sk-qa_cf_cs__Id166,cs,"- veterná elektráreň | locatedIn | Bratislavský kraj
- Bratislavský kraj | isInDistrict | Čadca","Veterná elektráreň se nachází v Bratislavském kraji, který je součástí okresu Čadca.",5,,5.0,,1
gemma4-31B__cs-qa_fa_cs__Id212,cs,"- Ašský výběžek | location | západ Čech
- Ašský výběžek | extendsInto | území Německa",Ašský výběžek se nachází na západě Čech a zasahuje do území Německa.,5,,5.0,,1
llama4-scout-openrouter__sk-qa_cf_cs__Id332,cs,- okres Senec | locatedIn | Slovensko,Okres Senec se nachází v Slovensku.,5,,5.0,,1
qwen3_5-122b__sk-qa_fa_cs__Id105,cs,"- Vrútky | locationOfConfluence | Váh A Turiec
- Váh | riverInConfluence | Turiec
- Váh A Turiec | confluenceLocation | Vrútky","Vrútky jsou místem soutoku řek Váh a Turiec, přičemž Váh je v tomto soutoku přítokem řeky Turiec.",3,,3.0,,1
gemma4-e2b__sk-qa_fa_cs__Id79,cs,- Matej Bel | placeOfOrigin | Očová,Matej Bel je Očová.,3,,1.0,,1
qwen3-1_7b__cs-qa_cf_cs__Id435,cs,"- Sametová revoluce | isA | období
- období | hasContext | politické změny
- období | location | jméno města Zlín
- období | year | 1989
- období | ledTo | pád komunistického režimu","Sametová revoluce byla obdobím, které málo vztahy k politickým změnám, město Zlín je součástí tohoto období a rok 1989 je ročník tohoto období. Pád komunistického režimu je vztahem mezi obdobím a ledem.",2,,2.0,,1
qwen3_5-122b__cs-qa_cf_cs__Id64,cs,"- 1. česká hokejová liga | newNameFromSeason | Maxa liga
- 1. česká hokejová liga | seasonStart | 2018-01-01","česká hokejová liga, která začala v roce 2018-01-01, má nové jméno Maxa liga.",5,,4.0,,1
llama4-scout-openrouter__sk-qa_cf_cs__Id478,cs,"- Hlavná bratislavská autobusová stanica | name | Bratislava Nivy
- Hlavná bratislavská autobusová stanica | location | Bratislava
- Hlavná bratislavská autobusová stanica | type | Czechoslovakia",Hlavná bratislavská autobusová stanica sa nachádza v Bratislave a jej názov je Bratislava Nivy. Je to autobusová stanica v Česko-Slovensku.,3,,4.0,,1
llama4-scout-openrouter__cs-qa_fa_cs__Id497,cs,"- Červený hrádek | locatedAt | úpatí Krušných hor
- úpatí Krušných hor | partOf | Krušné hory","Červený hrádek se nachází v úpatí Krušných hor, které jsou součástí Krušných hor.",5,,5.0,,1
llama4-scout-openrouter__cs-qa_fa_cs__Id8,cs,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal ocenění Zlatý slavík, a to dokonce nejvíckrát.",4,,5.0,,1
qwen3_5-122b__sk-qa_cf_cs__Id390,cs,- Slovensko | originatesFrom | Ružový ostrov,Slovensko originatesFrom Ružový ostrov.,4,,2.0,,1
qwen3_5-122b__sk-qa_fa_cs__Id247,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska byl v roce 2014 poražen v prezidentských volbách Robertem Ficem.,2,,5.0,,1
gpt-oss-120b__sk-qa_fa_cs__Id292,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerovy vrchoviny je Karanč, který má nadmořskou výšku 728 a je nad 1000.",5,,5.0,,1
gemma4-e2b__cs-qa_cf_cs__Id325,cs,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které byl založen v roce 1939 a byl udělen za prokázání vynikajícího činu v nebezpečí života a obětování života v Libereckém kraji.",4,,5.0,,1
llama4-scout-openrouter__sk-qa_fa_cs__Id344,cs,"- Kremnica | knownFor | Tazba Zlata
- Tazba Zlata | material | Zlato","Kremnica je známá pro těžbu zlata, které je materiálem těžby.",5,,5.0,,1
llama4-scout-openrouter__sk-qa_fa_cs__Id292,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Cerova vrchovina má za svůj nejvyšší vrchol Karanč, který dosahuje nadmořské výšky 728 metrů a nachází se nad úrovní 1000 není správně zformulováno, proto změna: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů. Tato informace neodpovídá informaci, že je nad 1000 proto: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů a leží níže 1000.",1,,1.0,,1
llama4-scout-openrouter__sk-qa_fa_cs__Id95,cs,- Zemplín | symbol | rieka Laborec,Řeka Laborec je také známá jako Zemplín.,1,,5.0,,1
gemma4-31B__cs-qa_cf_cs__Id384,cs,"- Nejstarší dochovaný most v Česku | location | Písek
- Nejstarší dochovaný most v Česku | country | Prášilské",Nejstarší dochovaný most v Česku se nachází v Písku a v zemi Prášilské.,5,,5.0,,1
gemma4-e2b__sk-qa_fa_cs__Id239,cs,- Primátor Bratislavy | residesIn | Primaciálny palác,Primátor Bratislavy residesIn Primaciálny palác.,1,,3.0,,4
gemma4-e2b__sk-qa_cf_cs__Id137,cs,- Bratislava | riverSource | Banská Štiavnica,Bratislava je riverSource Banská Štiavnica.,3,,3.0,,4
gemma4-e4b__sk-qa_fa_cs__Id360,cs,"- Jaroslav Slávik | participatedIn | Česko Slovensko má talent
- Česko Slovensko má talent | isA | TV show","Jaroslav Slávik se zúčastnil pořadu Česko Slovensko má talent, který je televizií.",4,,3.0,,4
gpt-oss-120b__sk-qa_cf_cs__Id284,cs,"- Miloslav Mečíř | nationality | slovenský
- Miloslav Mečíř | profession | tenista
- Miloslav Mečíř | achieved | olympijskú zlatú medailu
- Miloslav Mečíř | yearOfAchievement | 1992-01-01 1998-12-31
- Miloslav Mečíř | representedCountry | Československo
- olympijskú zlatú medailu | event | LOH v Soule
- LOH v Soule | year | 1992-01-01 1998-12-31","Miloslav Mečíř je slovenský tenista, který reprezentoval Československo, získal olympijskú zlatú medailu na LOH v Soule a dosáhl tohoto úspěchu v období 1992-01-01 až 1998-12-31. LOH v Soule se konala v letech 1992-01-01 1998-12-31.",5,,2.0,,4
gpt-oss-120b__cs-qa_cf_cs__Id322,cs,"- komunistické justiční politické procesy | timePeriod | 1950-01-01 to 1959-12-31
- komunistické justiční politické procesy | location | Litovel
- Milada Horáková | isFamousVictimOf | komunistické justiční politické procesy",Komunistické justiční politické procesy probíhaly v období 1950-01-01 to 1959-12-31 a konaly se v Litově. Milada Horáková je známou obětí komunistických justičních politických procesů.,4,,3.0,,4
qwen3-1_7b__cs-qa_cf_cs__Id310,cs,- Jiří Strach | hasProperty | chladna z rána,Jiří Strach má vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní vlastní v,1,,1.0,,1
qwen3_5-9b__sk-qa_fa_cs__Id80,cs,"- Hlas | publicationStartLocation | Skalica
- Skalica | isCityIn | Slovakia","Hlas, který byl vydán ve Skalici, je město ležící v Slovensku.",3,,5.0,,1
gemma4-e4b__sk-qa_cf_cs__Id408,cs,"- Maďarská politická strana | locatedIn | Žaluzice
- Maďarská politická strana | name | Magyar Szövetség – Maďarská aliancia",Maďarská politická strana Magyar Szövetség – Maďarská aliancia je nacházena v Žaluzicích.,5,,3.0,,1
gemma4-e4b__sk-qa_fa_cs__Id23,cs,- Tipos Extraliga | sportType | ľadový hokej,Extraliga je typ sportu ľadový hokej.,3,,2.0,,1
qwen3_5-122b__cs-qa_cf_cs__Id90,cs,"- Ondřej Perušič | isPartOf | Zdeněk Svěrák
- David Schweiner | isPartOf | Zdeněk Svěrák
- Zdeněk Svěrák | becameWorldChampionIn | beach volleyball
- Zdeněk Svěrák | becameWorldChampionInYear | 2023","Ondřej Perušič a David Schweiner jsou součástí Zdeněk Svěrák, který se stal mistrem světa v plážovém volejbale v roce 2023.",5,,3.0,,1
qwen3_5-122b__sk-qa_fa_cs__Id390,cs,- Názov Ružinov | originatesFrom | Ružový ostrov,Názov Ružinov originatesFrom Ružový ostrov.,5,,2.0,,1
qwen3_5-122b__cs-qa_cf_cs__Id147,cs,"- Jindřich Vařeka | position | starosta
- Jindřich Vařeka | location | Příbram
- Jindřich Vařeka | startDate | 2014-01-01
- Jindřich Vařeka | endDate | 1960",Jindřich Vařeka zastával funkci starosty v Příbrami od 2014-01-01 do 1960.,5,,4.0,,1
gemma4-e4b__cs-qa_cf_cs__Id389,cs,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
