uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
llama4-scout-openrouter__sk-qa_cf_hsb__Id487,4,hsb,"- Podujatie ťažných koní | hasName | Kľačianska Podkova
- Podujatie ťažných koní | location | Slovenská Ľupča","Podujatie ťažných koní ma mjeno ""Kľačianska Podkova"" a wón findźešo w Słowkej Ľupči.",5,1,4,,"[{""info_used"": ""Podujatie ťažných koní ma mjeno \""Kľačianska Podkova\"" a wón findźešo w Słowkej Ľupči."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
gemma4-31B__sk-qa_fa_hsb__Id430,4,hsb,"- Univerzita v Banskej Bystrici | namedAfter | Matej Bel
- Matej Bel | occupation | slovenský vedec","Univerzita v Banskej Bystrici je po Matej Bel, kotž běš slovenský vedec, named.",5,1,4,,"[{""info_used"": ""je po Matej Bel, kotž běš slovenský vedec, named"", ""correct_info"": ""Univerzita v Banskej Bystrici | namedAfter | Matej Bel; Matej Bel | occupation | slovenský vedec"", ""comment"": ""wrong_language""}]"
gpt-oss-120b__sk-qa_cf_hsb__Id170,2,hsb,"- Mohyla Milana Rastislava Štefánika | locatedOn | Prešov
- Prešov | isA | vrch","Mohyla Milana Rastislava Štefánika je na Prešov, a Prešov je hórka.",5,1,4,,"[{""info_used"": ""je na Prešov"", ""correct_info"": ""Mohyla Milana Rastislava Štefánika | locatedOn | Prešov"", ""comment"": ""unsupported: 'je na Prešov' is not a valid Upper Sorbian expression for 'located on'; the sentence's own grammar is not Upper Sorbian.""}, {""info_used"": ""je hórka"", ""correct_info"": ""Prešov | isA | vrch"", ""comment"": ""unsupported: 'hórka' is not a valid Upper Sorbian translation of 'vrch'; the sentence's own grammar is not Upper Sorbian.""}]"
llama4-scout-openrouter__cs-qa_cf_hsb__Id75,3,hsb,"- závod veteránů | heldAt | Sudoměřice
- závod veteránů | startYear | 2002
- závod veteránů | frequency | pravidelně",Závod veteránů se pravidelně koná v Sudoměřicích od roku 2002.,1,5,-4,,[]
qwen3_5-122b__cs-qa_fa_hsb__Id324,3,hsb,- Dům U Doušů | locatedAt | Václavské náměstí,Dům U Doušů leži na Václavském náměstí.,1,5,-4,,[]
llama4-scout-openrouter__cs-qa_fa_hsb__Id517,3,hsb,- hrad Kunětická hora | locatedNear | Pardubice,Hrad Kunětická hora nachádza sa neďaleko Pardubíc.,1,5,-4,wrong language,[]
qwen3_5-122b__cs-qa_cf_hsb__Id103,3,hsb,- Nejstarší politická strana v českých zemích | foundingDate | 1996,Nejstarší politická strana v českých zemích je založena 1996.,1,5,-4,,[]
tiny-aya-global__sk-qa_cf_en__Id77,2,en,"- Na love | hasModerator | Žofie Bosniaková
- Na love | isType | televízna relácia
- Na love | hasLanguage | slovenská",Žofie Bosniaková moderuje slovenskú televíznu reláciu Na love.,1,5,-4,,[]
qwen3_5-122b__cs-qa_fa_hsb__Id189,1,hsb,"- státní hymna České republiky | originatesFrom | Fidlovačka aneb Žádný hněv a žádná rvačka
- Fidlovačka aneb Žádný hněv a žádná rvačka | author | Josef Kajetán Tyl
- Fidlovačka aneb Žádný hněv a žádná rvačka | isA | divadelní hra","Státní hymna České republiky pochází z divadelní hry Fidlovačka aneb Žádný hněv a žádná rvačka, jejímž autorem je Josef Kajetán Tyl.",1,5,-4,,[]
gemma4-e2b__cs-qa_fa_en__Id67,3,en,- postavička Večerníček | hasAuthor | Radek Pilař,postavička Večerníček hasAuthor Radek Pilař.,5,1,4,,"[{""info_used"": ""postavička Večerníček hasAuthor Radek Pilař."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the exact RDF format."", ""comment"": ""wrong_transform""}]"
qwen3_5-122b__cs-qa_fa_hsb__Id432,1,hsb,- první česká knížecí dynastie | hasName | dynastie Přemyslovců,První česká knížecí dynastie je dynastie Přemyslovců.,1,5,-4,,[]
gpt-oss-120b__cs-qa_fa_hsb__Id515,1,hsb,- Smíchov | bordersOnNorth | Malá Strana,Smíchov leži na sever od Malé Strany.,1,5,-4,,[]
qwen3_5-122b__sk-qa_fa_hsb__Id287,3,hsb,"- Zemetrasenie pri Humennom | location | Humenné
- Zemetrasenie pri Humennom | date | 2023-10
- Zemetrasenie pri Humennom | magnitude | 4.9","Zemětřenie při Humenném měješe w oktobrje 2023 magnitudu 4,9.",5,1,4,,"[{""info_used"": ""Zemětřenie při Humenném měješe w oktobrje 2023 magnitudu 4,9."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
gemma4-31B__sk-qa_fa_hsb__Id40,4,hsb,- Stráže nad Myjavou | mergedWith | Šaštín,Stráže nad Myjavou zoŠaštín zlitne.,5,1,4,,"[{""info_used"": ""zoŠaštín zlitne"", ""correct_info"": ""Stráže nad Myjavou | mergedWith | Šaštín"", ""comment"": ""unsupported: The sentence uses 'zoŠaštín zlitne' which is not a valid Upper Sorbian expression for 'merged with Šaštín'. The meaning is unclear and does not faithfully convey the triple.""}]"
gemma4-e2b__sk-qa_fa_cs__Id239,4,cs,- Primátor Bratislavy | residesIn | Primaciálny palác,Primátor Bratislavy residesIn Primaciálny palác.,1,5,-4,,[]
gemma4-31B__cs-qa_cf_hsb__Id57,3,hsb,- Švabinský | popularizes | slam poetry,Švabinský popularizuje slam poetry.,1,5,-4,,[]
llama4-scout-openrouter__cs-qa_fa_hsb__Id432,3,hsb,- první česká knížecí dynastie | hasName | dynastie Přemyslovců,První česká knížecí dynastie ma město dynastie Přemyslovců.,1,5,-4,wrong language,[]
gemma4-e2b__sk-qa_fa_cs__Id68,2,cs,"- Škvrna Records | publishedFor | IMT Smile
- Škvrna Records | publishedFor | Bukasový masív
- Škvrna Records | publishedFor | Gladiator
- Škvrna Records | renamedTo | Závodský, s.r.o.
- Škvrna Records | renameDate | 1998-01-01","Škvrna Records byla vวันที่ 1998-01-01 změnila jméno na Závodský, s.r.o. a publikovala pro IMT Smile, Bukasový masív a Gladiator.",5,1,4,,"[{""info_used"": ""byla vวันที่ 1998-01-01 změnila jméno na Závodský, s.r.o."", ""correct_info"": ""The sentence contains non-Czech text 'vวันที่' and incorrect grammar, making it not a valid Czech sentence."", ""comment"": ""wrong_language""}]"
gpt-oss-120b__sk-qa_fi_hsb__Id29,3,hsb,"- piešťanský Grand Hotel Royal | nameDuringPeriod | Grand Hotel Slovan
- socializmus | timePeriod | 08-12-1992
- Grand Hotel Slovan | laterName | Slovan",Piešťanski Grand Hotel Royal měł mjeno Grand Hotel Slovan. Socializm ma časowy period 08‑12‑1992. Grand Hotel Slovan měł pozdźišće mjeno Slovan.,5,2,3,,"[{""info_used"": ""Piešťanski Grand Hotel Royal měł mjeno Grand Hotel Slovan."", ""correct_info"": ""piešťanský Grand Hotel Royal | nameDuringPeriod | Grand Hotel Slovan"", ""comment"": ""wrong_predicate: 'měł mjeno' (had the name) is not equivalent to 'nameDuringPeriod' (name during a specific period). The sentence omits the temporal aspect.""}, {""info_used"": ""Socializm ma časowy period 08‑12‑1992."", ""correct_info"": ""socializmus | timePeriod | 08-12-1992"", ""comment"": ""unsupported: 'Socializm' is not the same entity as 'socializmus'. The sentence introduces a different subject.""}, {""info_used"": ""Grand Hotel Slovan měł pozdźišće mjeno Slovan."", ""correct_info"": ""Grand Hotel Slovan | laterName | Slovan"", ""comment"": ""wrong_predicate: 'měł pozdźišće mjeno' (later had the name) is not equivalent to 'laterName'. The predicate is paraphrased incorrectly.""}]"
llama4-scout-openrouter__sk-qa_cf_cs__Id166,1,cs,"- veterná elektráreň | locatedIn | Bratislavský kraj
- Bratislavský kraj | isInDistrict | Čadca","Veterná elektráreň se nachází v Bratislavském kraji, který je součástí okresu Čadca.",5,2,3,,"[{""info_used"": ""Bratislavský kraj, který je součástí okresu Čadca"", ""correct_info"": ""Bratislavský kraj | isInDistrict | Čadca"", ""comment"": ""reverse: The sentence claims Bratislavský kraj is part of Čadca district, but the triple states Čadca is the district that Bratislavský kraj is in (i.e., Čadca is the district containing Bratislavský kraj). The semantic roles are swapped.""}]"
qwen3_5-9b__sk-qa_fi_cs__Id454,3,cs,"- Medzinárodný festival Magicfestival | location | Sitnianský okres
- Medzinárodný festival Magicfestival | eventType | festival","Medzinárodný festival Magicfestival, který je typem festivalu, se koná v Sitnianském okrese.",2,5,-3,reversed the eventType,[]
llama4-scout__cs-qa_fi_sk__Id338,1,sk,"- Michal Horák | profession | lékařka
- Michal Horák | role | zakladatelka českých hospiců
- Michal Horák | receivedAward | Medaile Za zásluhy o stát
- Medaile Za zásluhy o stát | awardedBy | Václav Havel
- Medaile Za zásluhy o stát | awardedBy | Miloš Zeman","Michal Horák je lekárka a zakladatelka českých hospiců. Za svoje zásluhy obdržala Medailu Za zásluhy o stát, ktorá jej bola udelená Václavom Havlom a Milošom Zemanom.",5,2,3,,"[{""info_used"": ""Michal Horák je lekárka a zakladatelka českých hospiců."", ""correct_info"": ""Michal Horák | profession | lékařka; Michal Horák | role | zakladatelka českých hospiců"", ""comment"": ""unsupported: The sentence uses feminine forms 'lekárka' and 'zakladatelka' for a person named 'Michal Horák', which is a masculine name. The triples list the profession and role with feminine nouns, but the sentence's grammar implies a female subject, which is not supported by the triples and contradicts the masculine name.""}, {""info_used"": ""Za svoje zásluhy obdržala Medailu Za zásluhy o stát, ktorá jej bola udelená Václavom Havlom a Milošom Zemanom."", ""correct_info"": ""Michal Horák | receivedAward | Medaile Za zásluhy o stát; Medaile Za zásluhy o stát | awardedBy | Václav Havel; Medaile Za zásluhy o stát | awardedBy | Miloš Zeman"", ""comment"": ""unsupported: The sentence uses feminine verb forms 'obdržala' and 'jej' referring to a female subject, which is not supported by the triples. The triples do not specify gender, and the masculine name 'Michal Horák' contradicts the feminine grammatical forms used.""}]"
qwen3_5-9b__cs-qa_fi_hsb__Id415,3,hsb,"- Alena Bílá | isLegendary | true
- Alena Bílá | isAncestor | true
- Alena Bílá | ledPeople | do země zaslíbené
- české pověsti | describeEvent | Praotec Čech ledPeople do země zaslíbené","Alena Bílá je legendarnja předk, kotraž je ludźi do zemi zaslíbeny wjedła, a to w podawku čěskich powěstow, kotrež wopisuju, kak je Praotec Čech ludźi do zemi zaslíbeny wjedł.",5,2,3,,"[{""info_used"": ""Alena Bílá je legendarnja předk, kotraž je ludźi do zemi zaslíbeny wjedła"", ""correct_info"": ""Alena Bílá | isLegendary | true; Alena Bílá | isAncestor | true; Alena Bílá | ledPeople | do země zaslíbené"", ""comment"": ""unsupported: The sentence merges the subject 'Alena Bílá' with the event 'ledPeople do země zaslíbené' from the triple about 'Praotec Čech', creating a claim that Alena Bílá led people to the promised land, which is not supported by the triples.""}, {""info_used"": ""a to w podawku čěskich powěstow, kotrež wopisuju, kak je Praotec Čech ludźi do zemi zaslíbeny wjedł"", ""correct_info"": ""české pověsti | describeEvent | Praotec Čech ledPeople do země zaslíbené"", ""comment"": ""unsupported: The sentence adds that the event of Alena Bílá leading people is described in Czech legends, but the triple only states that Czech legends describe Praotec Čech leading people. The connection to Alena Bílá is unsupported.""}]"
gemma4-31B__cs-qa_fa_cs__Id323,1,cs,"- Josef Kemr | nationality | Český
- Josef Kemr | profession | legendární herec
- Josef Kemr | numberOfRoles | 150
- Josef Kemr | awardReceived | Cena Thálie
- Cena Thálie | awardYear | 1993
- Cena Thálie | awardReason | celoživotní mistrovství","Josef Kemr je český legendární herec, který z memainkanou 150 rolí získal v roce 1993 Cenu Thálie za celoživotní mistrovství.",4,1,3,,"[{""info_used"": ""z memainkanou 150 rolí"", ""correct_info"": ""Josef Kemr | numberOfRoles | 150"", ""comment"": ""wrong_language""}]"
gemma4-e2b__sk-qa_fi_en__Id428,3,en,"- západný okraj | locationOf | Suchodolské Kopanice
- Bojnický zámok | locatedAt | západný okraj","The Bojnický zámok is located at the západný okraj, which is the location of Suchodolské Kopanice.",5,2,3,,"[{""info_used"": ""the západný okraj, which is the location of Suchodolské Kopanice"", ""correct_info"": ""západný okraj | locationOf | Suchodolské Kopanice"", ""comment"": ""reverse: The sentence says západný okraj is the location of Suchodolské Kopanice, but the triple states západný okraj is the location OF Suchodolské Kopanice, meaning Suchodolské Kopanice is located at západný okraj. The roles are swapped.""}]"
gpt-oss-120b__sk-qa_fa_cs__Id292,1,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerovy vrchoviny je Karanč, který má nadmořskou výšku 728 a je nad 1000.",5,2,3,,"[{""info_used"": ""je nad 1000"", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""reverse""}]"
qwen3_5-122b__sk-qa_fi_cs__Id275,1,cs,"- Jaroslav Spišiak | formerPosition | bývalý policajný prezident
- Jaroslav Spišiak | participatedIn | parlamentné voľby 2023
- parlamentné voľby 2023 | location | Habovka
- Jaroslav Spišiak | representedParty | Progresívne Slovensko
- parlamentné voľby 2023 | year | 2023","Jaroslav Spišiak, bývalý policajný prezident, se v roce 2023 zúčastnil parlamentných voľby 2023, které se konaly v Habovce a za které kandidoval za stranu Progresívne Slovensko.",4,1,3,,"[{""info_used"": ""Jaroslav Spišiak, bývalý policajný prezident, se v roce 2023 zúčastnil parlamentných voľby 2023, které se konaly v Habovce a za které kandidoval za stranu Progresívne Slovensko."", ""correct_info"": ""The sentence's own grammar (verbs, function words, connecting phrases) is not written mostly in Czech. The verbs 'zúčastnil', 'konaly', 'kandidoval' and the connecting words 'se', 'v roce', 'které', 'za které', 'za stranu' are Slovak, not Czech."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__sk-qa_cf_en__Id97,4,en,- Hlavná bratislavská autobusová stanica | hasCapital | Prešov,Hlavná bratislavská autobusová stanica hasCapital Prešov.,4,1,3,,"[{""info_used"": ""Hlavná bratislavská autobusová stanica hasCapital Prešov."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the exact pipe-separated RDF format."", ""comment"": ""wrong_transform""}]"
llama4-scout__cs-qa_fi_sk__Id35,3,sk,"- Frýdek-Místek | formedFrom | 5
- Frýdek-Místek | formedFrom | 2 města
- Frýdek-Místek | formedFrom | 30","Frýdek-Místek vznikol z 5, 2 miest a 30.",5,2,3,,"[{""info_used"": ""Frýdek-Místek vznikol z 5, 2 miest a 30"", ""correct_info"": ""Frýdek-Místek | formedFrom | 5; Frýdek-Místek | formedFrom | 2 města; Frýdek-Místek | formedFrom | 30"", ""comment"": ""unsupported: The sentence claims Frýdek-Místek was formed from '5, 2 miest a 30', but the triples state it was formed from '5', '2 města', and '30'. The phrase '2 miest' is an unsupported translation/paraphrase of '2 města' that changes the meaning (from '2 towns' to '2 places'), and the overall structure merges the three separate objects into a single unsupported list claim.""}]"
gpt-oss-120b__cs-qa_cf_en__Id419,3,en,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav was a Czech prince and a saint; he was murdered in Stará Boleslav by the servants of Boleslav. Kateřina Bobková‑Valentová is his brother, and the servants belong to Kateřina Bobková‑Valentová.",5,2,3,,"[{""info_used"": ""Kateřina Bobková‑Valentová is his brother"", ""correct_info"": ""Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav"", ""comment"": ""reverse""}, {""info_used"": ""the servants belong to Kateřina Bobková‑Valentová"", ""correct_info"": ""služebníci | belongTo | Kateřina Bobková-Valentová"", ""comment"": ""unsupported""}]"
qwen3_5-122b__cs-qa_fi_cs__Id125,1,cs,"- Rebel | locatedIn | Střelín
- Rebel | isA | pivovar",Rebel je pivovar locatedIn Střelín.,4,1,3,,"[{""info_used"": ""Rebel je pivovar locatedIn Střelín."", ""correct_info"": ""The sentence is not a natural-language Czech sentence; it retains the RDF-style 'locatedIn' predicate."", ""comment"": ""wrong_transform""}]"
gpt-oss-120b__sk-qa_cf_en__Id391,3,en,- Bazilika Sedembolestnej Panny Márie | isHighestLocated | pleso,Bazilika Sedembolestnej Panny Márie is the highest located mountain lake.,5,2,3,,"[{""info_used"": ""Bazilika Sedembolestnej Panny Márie is the highest located mountain lake"", ""correct_info"": ""Bazilika Sedembolestnej Panny Márie | isHighestLocated | pleso"", ""comment"": ""wrong_object: The sentence claims the subject is a mountain lake, but the triple states it is the highest located pleso (mountain lake), which is a predicate-object relationship, not an identity claim.""}]"
llama4-scout-openrouter__sk-qa_fa_hsb__Id109,3,hsb,- Jozef Ľudovít Miloslav Hurban | isFirstChairmanOf | Slovenská národná rada,Jozef Ľudovít Miloslav Hurban je předsedom Slovenské národnej rady.,1,4,-3,wrong language,"[{""info_used"": ""je předsedom"", ""correct_info"": ""Jozef Ľudovít Miloslav Hurban | isFirstChairmanOf | Slovenská národná rada"", ""comment"": ""wrong_predicate: 'je předsedom' (is chairman) is not equivalent to 'isFirstChairmanOf' (is the first chairman of)""}]"
qwen3_5-122b__cs-qa_cf_hsb__Id419,4,hsb,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav, český kníže a světec, byl zabit ve Staré Boleslavi služebníky Boleslava, kteří patří Kateřině Bobkové-Valentové; ta je bratrem Svatého Václava.",4,1,3,,"[{""info_used"": ""Svatý Václav, český kníže a světec, byl zabit ve Staré Boleslavi služebníky Boleslava, kteří patří Kateřině Bobkové-Valentové; ta je bratrem Svatého Václava."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
gpt-oss-120b__cs-qa_fa_hsb__Id473,3,hsb,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | svatý Václav","Legenda wopisuje podawk, zo Boleslav ma wotnoski brata svatého Václava, ma sobuskutkowacych swoju družinu a z mje swoju družinu zabił svatého Václava.",5,2,3,,"[{""info_used"": ""Boleslav ma wotnoski brata svatého Václava"", ""correct_info"": ""Boleslav | relationship | bratr svatého Václava"", ""comment"": ""unsupported: 'ma wotnoski brata' (has relations of brother) is not equivalent to 'relationship | bratr' (is brother); the triple states Boleslav is the brother, not that he has brotherly relations.""}, {""info_used"": ""ma sobuskutkowacych swoju družinu"", ""correct_info"": ""Boleslav | hasAssociates | jeho družina"", ""comment"": ""unsupported: 'ma sobuskutkowacych swoju družinu' (has his retinue as co-actors) adds the unsupported notion of co-acting; the triple only states he has associates (his retinue).""}, {""info_used"": ""z mje swoju družinu zabił svatého Václava"", ""correct_info"": ""Boleslav se svoji družinou | action | zabil ; zabil | object | svatý Václav"", ""comment"": ""unsupported: 'z mje swoju družinu' is garbled/unsupported; the triple states Boleslav with his retinue killed, but the sentence phrasing is not a faithful rendering.""}]"
gpt-oss-120b__sk-qa_fa_hsb__Id201,3,hsb,"- slovenské nárečia | dividedInto | západoslovenské
- slovenské nárečia | dividedInto | stredoslovenské
- slovenské nárečia | dividedInto | východoslovenské","Slowjanske rěče su dźělene na zapadnoslowjanske, strednoslowjanske a wuchodoslowjanske.",5,2,3,,"[{""info_used"": ""Slowjanske rěče su dźělene na zapadnoslowjanske, strednoslowjanske a wuchodoslowjanske."", ""correct_info"": ""slovenské nárečia | dividedInto | západoslovenské, stredoslovenské, východoslovenské"", ""comment"": ""wrong_object: The sentence says 'Slowjanske rěče' (Slavic languages) are divided, but the triples state 'slovenské nárečia' (Slovak dialects) are divided. The subject is changed.""}]"
llama4-scout-openrouter__sk-qa_cf_sk__Id306,3,sk,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže je pútnicky významné mesto, ktoré sa nachádza na Slovensku. Slovensko sa nachádza v Šaštín-Stráži.",5,2,3,,"[{""info_used"": ""Slovensko sa nachádza v Šaštín-Stráži"", ""correct_info"": ""Šaštín-Stráže | locatedIn | Slovensko"", ""comment"": ""reverse""}]"
llama4-scout__cs-qa_fi_cs__Id344,1,cs,"- západní okraj | locationOf | Vrchovka
- kostel | locatedAt | západní okraj
- kostel | usedBy | Husitská církev",Kostel se nachází na západním okraji a využívá ho Husitská církev. Tento západní okraj je také locationOf Vrchovka.,4,1,3,,"[{""info_used"": ""Tento západní okraj je také locationOf Vrchovka."", ""correct_info"": ""západní okraj | locationOf | Vrchovka"", ""comment"": ""wrong_transform""}]"
llama4-scout-openrouter__cs-qa_fa_hsb__Id232,3,hsb,"- Večerníček | isA | televizní pořad
- Večerníček | targetAudience | děti
- Večerníček | broadcastTime | večer
- Večerníček | broadcastFrequency | každý den","Večerníček je telewizny program, kotryž je wěstawjen za dźeci a wón běše w każdu wjesćilu.",5,2,3,,"[{""info_used"": ""wěstawjen za dźeci"", ""correct_info"": ""Večerníček | targetAudience | děti"", ""comment"": ""unsupported: 'wěstawjen' means 'exhibition', not 'program for children'""}, {""info_used"": ""wón běše w każdu wjesćilu"", ""correct_info"": ""Večerníček | broadcastFrequency | každý den"", ""comment"": ""unsupported: 'wjesćilu' is not a valid Upper Sorbian word; intended meaning unclear, does not match 'každý den' (every day)""}, {""info_used"": ""(missing)"", ""correct_info"": ""Večerníček | broadcastTime | večer"", ""comment"": ""omission: broadcast time 'večer' (evening) not mentioned""}]"
qwen3_5-122b__cs-qa_fi_cs__Id150,1,cs,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko používá paušální sazbu pro jiné než řemeslné živnosti, které mají pausalRateForExpenses 2501.",4,1,3,,"[{""info_used"": ""paušální sazbu pro jiné než řemeslné živnosti, které mají pausalRateForExpenses 2501"", ""correct_info"": ""jiných nez řemeslných živností | pausalRateForExpenses | 2501"", ""comment"": ""wrong_transform: the sentence keeps the English predicate 'pausalRateForExpenses' instead of expressing it in Czech, and the object '2501' is not integrated into a natural Czech phrase.""}]"
