eid,category,shape,shape_type,size,sentence,reasoning
Id11,culture,,,1,The origin city of IMT Smile is Košice.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: IMT Smile | originCity | Košice. We must translate predicate ""originCity"" to English, likely ""origin city"". So: ""IMT Smile's origin city is Košice."" Or ""The origin city of IMT Smile is Košice."" Both are fine. We must not add extra info. So output: ""The origin city of IMT Smile is Košice."""
Id12,geography,,,2,"Michalovce's source location is Gbeľany, which is a municipality.","We need to produce fluent English prose expressing both triples. Triples: 1. Michalovce | sourceLocation | Gbeľany 2. Gbeľany | isType | obec We need to translate predicates: ""sourceLocation"" likely means ""has source location"" or ""source location is"". Could be ""Michalovce's source location is Gbeľany"". And ""isType"" means ""is a type of"". Gbeľany is a type ""obec"". ""obec"" is Slovak for ""municipality"" or ""village"". It's a common noun, not a proper name, so we translate to English: ""municipality"". So Gbeľany is a municipality. Thus sentence: ""Michalovce's source location is Gbeľany, which is a municipality."" That includes both facts. Check: we used all facts: Michalovce sourceLocation Gbeľany, Gbeľany isType obec (municipality). Yes. We must not add extra info. That's fine. Output only sentence(s). One sentence is fine."
Id14,geography,,,3,"The ruin, called Hrad Branč, is located in Grand Hotel Slovan; Hrad Branč is a type of ruin.","We need to produce fluent English prose expressing all facts. Triples: 1. Zrúcanina isLocatedIn Grand Hotel Slovan. 2. Zrúcanina isCalled Hrad Branč. 3. Hrad Branč isTypeOf Zrúcanina. We need to translate entities that are not proper named entities into English. ""Zrúcanina"" is a Slovak word meaning ""ruin"". Is that a proper named entity? Probably not; it's a common noun. So we translate ""Zrúcanina"" to English: ""ruin"". ""Grand Hotel Slovan"" is a proper name, keep as is. ""Hrad Branč"" is a proper name (means ""Branč Castle"") but it's a proper name, keep as is. Now we need to express: The ruin is located in Grand Hotel Slovan. The ruin is called Hrad Branč. Hrad Branč is a type of ruin. But note redundancy: ""Hrad Branč is a type of ruin"" essentially repeats that Hrad Branč is a ruin. But we must include all facts. We can combine: The ruin, called Hrad Branč, is located in Grand Hotel Slovan, and Hrad Branč is a type of ruin. But need to ensure we mention that Hrad Branč is a type of ruin. Could phrase: The ruin, called Hrad Branč, is located in Grand Hotel Slovan; Hrad Branč is a type of ruin. That's two short sentences. That includes all facts. Check: ""The ruin"" refers to Zrúcanina. Good. ""called Hrad Branč"" expresses isCalled. ""is located in Grand Hotel Slovan"" expresses isLocatedIn. Then ""Hrad Branč is a type of ruin"" expresses isTypeOf. All numbers/dates none. Thus final answer."
Id16,sports,,,1,Matej Tóth competes in snowboarding.,"We need to produce a fluent English sentence expressing the triple: Matej Tóth | competesIn | snowboarding. We must translate subject: Matej Tóth (proper name) stays same. Predicate: competesIn => ""competes in"". Object: snowboarding (common noun) => ""snowboarding"". So sentence: ""Matej Tóth competes in snowboarding."" Check requirements: Use only given info, no extra. Yes. Output only the sentence."
Id18,politics,,,2,Peter Marcin is a member of the political party OĽANO and was elected to parliament.,"We need to produce a single fluent English sentence (or two short ones) that expresses both facts: Peter Marcin politicalParty OĽANO, and Peter Marcin electedTo parlament. We must translate predicate: politicalParty -> ""is a member of the political party"" or ""belongs to the political party"". electedTo -> ""was elected to"". The object ""parlament"" is not a proper named entity; translate to English: ""parliament"". So sentence: ""Peter Marcin is a member of the political party OĽANO and was elected to parliament."" Ensure we include both facts. Use only given info. That seems fine. Check: ""politicalParty"" could be ""political party"". Use ""is a member of the political party OĽANO"". Good. Output only sentence."
Id19,history,,,2,German soldiers partially burned Vlkolínec.,"We need to produce fluent English prose expressing both triples. The triples are in Czech: ""nemeckí vojaci"" = ""German soldiers"". Predicate ""action"" = ""partially burned"". Target ""Vlkolínec"" (a place). So we need to say: ""German soldiers partially burned Vlkolínec."" That's a single sentence covering both facts: subject German soldiers, action partially burned, target Vlkolínec. Ensure we include both facts. That's it."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Machnáčov grúň.","We need to produce fluent English prose expressing both triples. Triples: 1. Kostol Najsvätejšej Trojice | locatedOnStreet | Hlavná ulica 2. Hlavná ulica | locatedInCity | Machnáčov grúň We need to translate non-proper entities to English. ""Kostol Najsvätejšej Trojice"" is a proper name? It's Slovak for ""Church of the Holy Trinity"". It's a proper name, keep as is. ""Hlavná ulica"" means ""Main Street"". Is that a proper named entity? It is a street name, likely proper. Should we keep original? The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in their original form. ""Hlavná ulica"" is a street name, so it's a proper named entity, keep as is. ""Machnáčov grúň"" is a city? It's a place name, keep as is. Thus sentence: ""Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Machnáčov grúň."" We need to include both facts. That sentence includes both. Ensure we use ""located on"" and ""located in"". Use ""city"" maybe. The triple says ""locatedInCity"". So we can say ""located in the city of Machnáčov grúň"". Good. Return only sentence(s)."
Id21,geography,,,1,Fatra II./BU-2 mines brown coal.,"We need to produce a fluent English sentence expressing the triple: subject ""Fatra II./BU-2"" predicate ""minedResource"" object ""hnedé uhlie"". Need to translate any entity that is NOT a proper named entity into English. ""Fatra II./BU-2"" looks like a proper named entity (maybe a mine). Keep as is. Object ""hnedé uhlie"" is not English; translate to English. ""hnedé uhlie"" is Slovak for ""brown coal"". So translate to ""brown coal"". Predicate ""minedResource"" -> ""mines"". So sentence: ""Fatra II./BU-2 mines brown coal."" Ensure we use exactly the facts. No extra. Output only sentence."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7 faculties.,"We need to produce a fluent English sentence expressing the triple: subject ""Vysoká škola múzických umení v Bratislave"" (which is a proper name, a university) predicate ""numberOfFaculties"" object ""7"". So we need to say: ""Vysoká škola múzických umení v Bratislave has 7 faculties."" That's it. Ensure we use only given info. No extra. Output only sentence."
Id24,politics,,,2,"The alleged wiretapping, whose subject was Jana Hubinská, led to Kauza Gorila.","We need to produce fluent English prose expressing both triples. The triples: Subject: Údajné odpočúvanie (Czech/Slovak phrase meaning ""alleged wiretapping"" maybe). Predicate: subject, object: Jana Hubinská. So ""Údajné odpočúvanie"" has subject Jana Hubinská. Means Jana Hubinská is the subject of the alleged wiretapping? Actually predicate ""subject"" means the subject of the alleged wiretapping is Jana Hubinská. So we can say ""The alleged wiretapping concerned Jana Hubinská."" Second triple: Údajné odpočúvanie leadsTo Kauza Gorila. So the alleged wiretapping leads to the Gorila case (Kauza Gorila). So we need to express both: The alleged wiretapping, whose subject was Jana Hubinská, led to the Gorila case. We must not add extra info. So sentence: ""The alleged wiretapping, whose subject was Jana Hubinská, led to the Gorila case."" Check: Use proper translation: ""Údajné odpočúvanie"" -> ""alleged wiretapping"". ""Kauza Gorila"" -> ""the Gorila case"". Should we keep ""Kauza Gorila"" as is? It's a proper name? Probably it's a case name, treat as proper named entity, keep original. So ""Kauza Gorila"". But we can translate ""Kauza"" maybe not. The instruction: Translate any entity that is NOT a proper named entity into English. ""Kauza Gorila"" is a proper named entity (case name). So keep as is. So sentence: ""The alleged wiretapping, whose subject was Jana Hubinská, led to Kauza Gorila."" That includes both facts. Ensure no extra. Good."
Id26,politics,,,3,"The political dispute named pomlčková vojna, concerning the name of Czechoslovakia, began on 2011-01-01.","We need to produce fluent English prose expressing all facts. Triples: - subject: ""politický spor"" (Czech for ""political dispute""?). It's not a proper named entity, so translate to English: ""political dispute"". - predicate name: ""pomlčková vojna"" (Czech phrase, likely proper name? It's a name of the dispute. It's a proper name? It's a phrase, but treat as name, keep as is. Probably keep as is.) - predicate topic: ""názov Česko-Slovenska"" (Czech phrase meaning ""the name of Czechoslovakia""? Actually ""názov"" is Slovak for ""name"". So topic is ""the name of Czechoslovakia"". That's a phrase, not a proper entity. Translate to English: ""the name of Czechoslovakia"". - predicate startDate: ""2011-01-01"". Keep date. We need to express: The political dispute named ""pomlčková vojna"" has the topic ""the name of Czechoslovakia"" and started on 2011-01-01. Make a single sentence: ""The political dispute named pomlčková vojna, concerning the name of Czechoslovakia, began on 2011-01-01."" Check: includes name, topic, start date. Use ""began"" for startDate. That's fine. We must not add extra info. ""concerning"" expresses topic. That's okay. Output only sentence."
Id27,history,,,3,"Belo IV was king of Národný park Nízke Tatry, and during his reign the first Mongol invasion occurred, targeting Národný park Nízke Tatry.","We need to produce fluent English prose expressing all facts. Triples: 1. Belo IV | wasKingOf | Národný park Nízke Tatry Interpret: Belo IV was king of National Park Low Tatras (Národný park Nízke Tatry). So ""Belo IV was king of Národný park Nízke Tatry."" 2. prvý mongolský vpád | occurredDuringReignOf | Belo IV ""The first Mongol invasion occurred during the reign of Belo IV."" 3. prvý mongolský vpád | targetedLocation | Národný park Nízke Tatry ""The first Mongol invasion targeted Národný park Nízke Tatry."" We need to combine into one sentence or two short ones. Must include all facts. Could be: ""Belo IV was king of Národný park Nízke Tatry, and during his reign the first Mongol invasion occurred, targeting Národný park Nízke Tatry."" That includes all three. Check: includes that Belo IV was king of the park, that the first Mongol invasion occurred during his reign, and that it targeted the park. Yes. Make sure not to add extra info. Use exactly given names. Use ""first Mongol invasion"" as translation of ""prvý mongolský vpád"". Keep proper names as is. Should we translate ""prvý mongolský vpád"" to English? The instruction: Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). ""prvý mongolský vpád"" is a phrase meaning ""first Mongol invasion"". It's not a proper name, so translate. So we should use ""the first Mongol invasion"". Good. ""Národný park Nízke Tatry"" is a proper named entity (a park name). Keep as is. Thus final sentence: ""Belo IV was king of Národný park Nízke Tatry, and during his reign the first Mongol invasion occurred, targeting Národný park Nízke Tatry."" That's one sentence. Output only that."
Id28,history,,,1,Múzeum obetí komunizmu is located in Slovensko.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: ""Múzeum obetí komunizmu | locatedIn | Slovensko"". So subject is ""Múzeum obetí komunizmu"" which is not a proper named entity? It's a museum name in Slovak, likely a proper name. The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" ""Múzeum obetí komunizmu"" is a proper name of a museum, so keep as is. ""Slovensko"" is a proper name for Slovakia, keep as is. Predicate ""locatedIn"" translate to ""is located in"". So sentence: ""Múzeum obetí komunizmu is located in Slovensko."" That's it."
Id29,history,,,3,"The piešťanský Grand Hotel Royal was named Jankov vŕšok during a period; later, Jankov vŕšok was named Slovan. Socialism's time period was 1948-1989.","We need to produce fluent English prose expressing all facts. Triples: 1. piešťanský Grand Hotel Royal | nameDuringPeriod | Jankov vŕšok Interpretation: The piešťanský Grand Hotel Royal was named ""Jankov vŕšok"" during a period. 2. socializmus | timePeriod | 1948-1989 Interpretation: Socialism (socializmus) had the time period 1948-1989. 3. Jankov vŕšok | laterName | Slovan Interpretation: Jankov vŕšok later had the name Slovan. We need to combine into a single sentence (or two short ones). Must use only given info. We need to translate predicate: nameDuringPeriod => ""was named ... during a period"". laterName => ""later was named"". timePeriod => ""spanned the period"". So sentence: ""The piešťanský Grand Hotel Royal was named Jankov vŕšok during a period, and Jankov vŕšok later was named Slovan. Socialism spanned the period 1948-1989."" But need to ensure we don't add extra context. The first triple doesn't specify which period, just nameDuringPeriod. So we can say ""was named Jankov vŕšok during a period"". That's okay. Second triple: ""Socialism had the time period 1948-1989."" Could phrase ""Socialism's time period was 1948-1989."" Third: ""Jankov vŕšok later had the name Slovan."" Combine: ""The piešťanský Grand Hotel Royal was named Jankov vŕšok during a period; later, Jankov vŕšok was named Slovan. Socialism's time period was 1948-1989."" Make sure we include all facts. Yes. We must not add any extra facts. The phrase ""during a period"" is generic but okay. Could also say ""during a period"" is not adding info. It's fine. Output only sentence(s)."
Id31,politics,,,2,"Peter Doležaj's governing style is mečiarizmus, which lasted from 1992-01-01 to 1998-12-31.","We need to produce fluent English prose expressing both triples. Triples: 1. Peter Doležaj | governingStyle | mečiarizmus 2. mečiarizmus | timePeriod | 1992-01-01 1998-12-31 We need to translate predicate ""governingStyle"" to English: ""governing style"". So ""Peter Doležaj's governing style is mečiarizmus."" Second: ""mečiarizmus"" timePeriod ""1992-01-01 1998-12-31"". So ""The governing style mečiarizmus lasted from 1992-01-01 to 1998-12-31."" Or ""mečiarizmus had a time period of 1992-01-01 to 1998-12-31."" We must include both facts. Could combine: ""Peter Doležaj's governing style is mečiarizmus, which lasted from 1992-01-01 to 1998-12-31."" That includes both facts. Ensure we don't add extra info. That's fine. We must preserve numbers exactly. Use the dates as given. Thus final answer: ""Peter Doležaj's governing style is mečiarizmus, which lasted from 1992-01-01 to 1998-12-31."" Check: includes both facts. Yes. Output only sentence."
Id32,geography,,,2,Okres Čadca borders Česko and Ďumbier.,"We need to produce fluent English prose expressing both triples. Subject: ""Okres Čadca"" (a district). Predicate: ""borders"". Objects: ""Česko"" (Czech Republic) and ""Ďumbier"" (a mountain). So we need to say that Okres Čadca borders Česko and also borders Ďumbier. Must not add extra info. So sentence: ""Okres Čadca borders Česko and Ďumbier."" That expresses both. Ensure proper translation: ""Česko"" is a proper name, keep as is. ""Ďumbier"" also proper. So final answer: ""Okres Čadca borders Česko and Ďumbier."""
Id34,culture,,,3,"Dračie srdce is a film that was filmed in Levice, and Levice is a castle.","We need to produce fluent English prose expressing all facts. Triples: 1. Dračie srdce | filmingLocation | Levice 2. Dračie srdce | type | film 3. Levice | type | hrad We need to translate non-proper named entities: ""filmingLocation"" -> ""was filmed in"" or ""has filming location"". ""type"" -> ""is a"". ""film"" is a type, keep as film. ""Levice"" is a proper name? It's a place name, likely proper, keep as Levice. ""hrad"" is Czech for ""castle"". It's not a proper named entity, so translate to English: ""castle"". So third triple: Levice is a castle. That seems odd: Levice is a town, but given triple says type hrad (castle). We must state as given. Thus sentence(s): ""The film Dračie srdce was filmed in Levice, and Levice is a castle."" Or combine: ""Dračie srdce is a film that was filmed in Levice, which is a castle."" We must include all facts: Dračie srdce type film, filming location Levice, Levice type castle. Thus produce: ""Dračie srdce is a film that was filmed in Levice, and Levice is a castle."" That covers all. Ensure no extra info. Output only sentence(s)."
Id35,culture,,,3,"Vojtech Bukovský’s professional focus includes painting, illustration and graphics.","We need to produce fluent English prose expressing all facts. Triples: subject Vojtech Bukovský, predicate professionalFocus, object maľba (Slovak for painting). Also ilustrácia (illustration) and grafika (graphics). Need to translate non-proper entities to English: maľba = painting, ilustrácia = illustration, grafika = graphics. So sentence: ""Vojtech Bukovský's professional focus includes painting, illustration, and graphics."" That covers all three. Ensure we use all facts. Could also say ""Vojtech Bukovský's professional focus is painting, illustration, and graphics."" That's fine. Output only sentence."
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri.,"We need to produce a single fluent English sentence (or two short ones) that expresses the triple: subject ""Belo IV"", predicate ""composed"", object ""Aj tak sme frajeri"". Need to translate predicate into English: ""composed"". So ""Belo IV composed Aj tak sme frajeri."" Need to treat object: ""Aj tak sme frajeri"" is presumably a title, keep as is. Also subject ""Belo IV"" is a proper name, keep. So sentence: ""Belo IV composed Aj tak sme frajeri."" That's it. Ensure no extra info."
Id38,geography,,,1,Národný ústav reumatických chorôb is headquartered in Vihorlatské vrchy.,"We need to produce a fluent English sentence expressing the triple: subject ""Národný ústav reumatických chorôb"" (which is Slovak for ""National Institute of Rheumatic Diseases"") | predicate ""headquarterLocation"" | object ""Vihorlatské vrchy"" (which is a mountain range, ""Vihorlat Mountains""). We must translate any entity that is NOT a proper named entity into English. The subject is a proper named entity? It's a name of an institute, likely proper. Keep as is. The object ""Vihorlatské vrchy"" is a proper name of a mountain range, also proper, keep as is. Predicate ""headquarterLocation"" should be expressed as ""has its headquarters in"" or ""is headquartered in"". Use natural English. Thus: ""Národný ústav reumatických chorôb is headquartered in Vihorlatské vrchy."" Check: Must include all facts: subject, predicate, object. That's it. Output only the sentence."
Id39,geography,,,2,"Liptovský Mikuláš has Turčianske Teplice as its largest settlement, and Turčianske Teplice is the largest settlement of Liptovský Mikuláš.","We need to produce fluent English prose expressing both triples. Triples: 1. Liptovský Mikuláš | hasLargestSettlement | Turčíaske Teplice 2. Turčíaske Teplice | isLargestSettlementOf | Liptovský Mikuláš These are essentially the same fact expressed both ways. Need to include both facts. Could say: ""Liptovský Mikuláš has Turčianske Teplice as its largest settlement, and Turčianske Teplice is the largest settlement of Liptovský Mikuláš."" That includes both. Must not add extra info. Use proper names unchanged. Ensure correct spelling: Turčianske Teplice. Provide sentence(s). Probably one sentence is fine. Let's output: ""Liptovský Mikuláš has Turčianske Teplice as its largest settlement, and Turčianske Teplice is the largest settlement of Liptovský Mikuláš."""
Id40,geography,,,1,Galanta merged with Šaštín.,"We need to produce a fluent English sentence expressing the triple: subject Galanta, predicate mergedWith, object Šaštín. We must translate any entity that is NOT a proper named entity into English. ""Galanta"" and ""Šaštín"" are proper names (towns). So keep them. Predicate ""mergedWith"" -> ""merged with"". So sentence: ""Galanta merged with Šaštín."" That's all. Ensure we include all facts. Only one triple. Output only sentence."
Id41,culture,,,2,Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 1986.,"We need to produce fluent English prose expressing both triples. Triples: Subject: ""Slovenská televízia a rozhlas"" Predicate: ""replacedOrganization"" Object: ""Rozhlas a televízia Slovenska"" Second triple: same subject, predicate ""replacementYear"", object ""1986"". We need to translate subject and object if not proper named entity. They appear to be proper names of organizations in Slovak. They are proper named entities, so keep as is. The predicate ""replacedOrganization"" means ""replaced the organization"". So we can say: ""Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 1986."" Make sure to include both facts: that it replaced that organization, and the replacement year is 1986. Thus sentence: ""Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 1986."" That's a single sentence covering both. Ensure no extra info. Output only sentence."
Id42,other,,,1,Ladislav Novomeský focuses on climatology.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: Ladislav Novomeský focuses on klimatológia. ""klimatológia"" is likely a Slovak word meaning ""climatology"". It's not a proper named entity, so translate to English: climatology. Thus: ""Ladislav Novomeský focuses on climatology."" That's it."
Id43,politics,,,3,"Dara Rolins, who was formerly the president of Slovakia, founded Za ľudí, a political party.","We need to produce fluent English prose expressing all facts. Triples: 1. Dara Rolins | formerPosition | prezident Slovenska => Dara Rolins held the former position of president of Slovakia. Actually ""formerPosition"" indicates that she formerly held that position. So ""Dara Rolins was formerly the president of Slovakia."" 2. Dara Rolins | founded | Za ľudí => Dara Rolins founded Za ľudí. 3. Za ľudí | type | political party => Za ľudí is a political party. Combine: ""Dara Rolins was formerly the president of Slovakia, founded the political party Za ľudí."" Need to include that Za ľudí is a political party. Could be: ""Dara Rolins, who was formerly the president of Slovakia, founded Za ľudí, which is a political party."" Make sure we use only given info. That's fine. Output only sentence(s). One sentence is okay. Let's produce: ""Dara Rolins, who was formerly the president of Slovakia, founded Za ľudí, a political party."""
Id45,culture,,,3,"The covers of the Harry Potter books in the Slovak edition were designed by Michal Straka, are in Slovak, and belong to the Harry Potter series.","We need to produce fluent English prose expressing all facts. Triples: Subject: ""obálky kníh Harry Potter v slovenskom vydaní"" which is Slovak phrase meaning ""covers of the Harry Potter books in the Slovak edition"". It's not a proper named entity, so translate to English. So subject becomes ""the covers of the Harry Potter books in the Slovak edition"". Predicate translations: - designer -> ""were designed by"" or ""designer is"". Use natural: ""were designed by Michal Straka"". - language -> ""are in the Slovak language"" or ""language is Slovak"". Use ""are in Slovak"". - bookSeries -> ""belong to the Harry Potter series"" or ""are for the Harry Potter series"". Use ""are for the Harry Potter series"". We need to include all three facts in one sentence or two short ones. Could be: ""The covers of the Harry Potter books in the Slovak edition were designed by Michal Straka, are in Slovak, and belong to the Harry Potter series."" Make sure we preserve ""Harry Potter"" as proper name. Use ""Harry Potter series"". That's fine. Check: we used ""are in Slovak"" which matches language ""slovenský"". Should we say ""are Slovak-language""? Probably ""are in Slovak"". Good. Now output only the sentence."
Id46,politics,,,1,The tax identification number (TIN) has 150 digits.,"We need to produce a fluent English sentence expressing the triple: Subject: ""Daňové identifikačné číslo (DIČ)"" predicate: ""numberOfDigits"" object: ""150"". So we need to translate subject: it's Slovak for ""Tax identification number (TIN)"". It's not a proper named entity, so translate to English: ""tax identification number (TIN)"". Predicate ""numberOfDigits"" -> ""has number of digits"". Object ""150"". So sentence: ""The tax identification number (TIN) has 150 digits."" Ensure we include all facts. That's it."
